Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
443,6,1730015468323099.8,10084648.25,12,11,3343,4752,1946,66,278.5833333333333,518.9942932141826,2962,66,432.0,829.132843835819,802.7052406116395,2.2806943216884137,438462.9673913043,2026799.1264221442,9944857.0,0.0,10084648.25,916786.2045454546,2859866.3423854285,9960343.5,178.25,10065172.5,1006517.25,2979496.3486606483,9944857.0,320.5,5,5,0,0,360,360,1.1899274721852593,1.0907668495031544,66,2962,351.95652173913044,689.3416820644028,475191.95463138015,1,2,0,10,21,0,0,0,1.0909090909090908,351.95652173913044,278.5833333333333,432.0,nan,nan,nan,nan,nan,nan,12,3343,11,4752,64240,65160,0,66,0,0,0,0,0,0,0,0,BENIGN
49848,6,1730015478434520.0,405.75,2,0,156,0,90,66,78.0,12.0,0,0,0,0,384473.1977818854,4929.143561306223,202.875,202.875,405.75,0.0,405.75,405.75,0.0,405.75,405.75,0,0,0,0,0,1,0,0,0,32,0,4929.143561306223,0.0,66,90,78.0,12.0,144.0,1,0,0,1,1,0,0,0,0,78.0,78.0,0,nan,nan,nan,nan,nan,nan,2,156,0,0,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015478436099.5,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015478436953.0,0.0,1,0,54,0,54,54,54.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,54,54.0,0.0,0.0,0,0,1,0,0,0,0,0,0,54.0,54.0,0,nan,nan,nan,nan,nan,nan,1,54,0,0,0,0,0,54,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015450569348.8,68319086.25,3,3,198,271,66,66,66.0,0.0,139,66,90.33333333333333,34.41253001774531,6.864845912660315,0.08782318864810637,11386514.375,17281542.209463738,45046580.0,0.0,68319086.25,34159543.125,10897913.125,45057456.25,23261630.0,68307878.75,34153939.375,10902447.375,45056386.75,23251492.0,0,1,0,0,64,96,0.043911594324053185,0.043911594324053185,66,139,78.16666666666667,27.205493726247443,740.138888888889,1,0,0,1,5,0,0,0,1.0,78.16666666666667,66.0,90.33333333333333,nan,nan,nan,nan,nan,nan,3,198,3,271,501,1040,0,66,0,0,0,0,0,0,0,0,BENIGN
38350,6,1730015518900350.5,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,1040,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015451428486.0,76305664.0,8,6,2617,1234,2083,66,327.125,663.980315502651,684,66,205.66666666666666,227.26318565829257,50.468075344970465,0.18347261875605986,5450404.571428572,13862616.294499848,48186318.5,0.0,76305664.0,10900809.142857144,18026358.670309447,48186318.5,287.25,48283667.5,9656733.5,19286206.747940384,48229145.75,4634.25,2,2,0,0,232,200,0.1048414964320342,0.07863112232402565,66,2083,275.07142857142856,526.9473359814615,277673.49489795923,1,2,0,4,12,0,0,0,1.3333333333333333,275.07142857142856,327.125,205.66666666666666,nan,nan,nan,nan,nan,nan,8,2617,6,1234,64240,65535,0,66,0,0,0,0,0,0,0,0,BENIGN
42944,6,1730015527746617.5,0.0,1,0,66,0,66,66,66.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,66,66.0,0.0,0.0,1,0,0,0,0,0,0,0,0,66.0,66.0,0,nan,nan,nan,nan,nan,nan,1,66,0,0,1043,0,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015468013334.5,60057466.75,7,11,2481,1036,2026,66,354.42857142857144,682.6343629421154,222,66,94.18181818181819,46.22242309414572,58.560578564529614,0.2997129411889488,3336525.9305555555,11163723.708165156,47970887.0,0.0,48093312.75,8015552.125,17868582.855603114,47970887.0,404.0,60035694.5,6003569.45,14455837.526539797,48037997.25,314.25,2,4,0,0,232,328,0.1165550326845912,0.18315790850435762,66,2026,195.38888888888889,445.66780589344404,198619.79320987652,1,2,0,6,16,0,0,0,0.6363636363636364,195.38888888888889,354.42857142857144,94.18181818181819,nan,nan,nan,nan,nan,nan,7,2481,11,1036,64240,26847,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015468210487.5,60101747.25,12,14,3390,5516,1939,66,282.5,530.4267935665895,2794,66,394.0,740.0780846833471,148.18204806849437,0.4325997361083375,2311605.6634615385,5178503.559966637,15100183.25,0.0,47895860.25,4354169.113636363,6601402.562879016,15100475.75,220.0,60070514.0,4620808.769230769,6556108.886117457,15100378.75,414.25,3,5,0,0,392,424,0.19966141666538653,0.23293831944295096,66,2794,342.53846153846155,654.1165639929483,427868.47928994085,1,2,0,8,24,0,0,0,0.8571428571428571,342.53846153846155,282.5,394.0,nan,nan,nan,nan,nan,nan,12,3390,14,5516,64240,43648,0,66,0,0,0,0,0,0,0,0,BENIGN
443,6,1730015528352434.5,20472.25,1,1,66,66,66,66,66.0,0.0,66,66,66.0,0.0,6447.752445383385,97.69321886944522,10236.125,10236.125,20472.25,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,48.84660943472261,48.84660943472261,66,66,66.0,0.0,0.0,1,0,0,0,1,0,0,0,1.0,66.0,66.0,66.0,nan,nan,nan,nan,nan,nan,1,66,1,66,501,0,0,66,0,0,0,0,0,0,0,0,BENIGN
